names,authors,descrips,paragraphs
Spartan and Fire: RLCraft Edition,fonnymunkey,"Client and server, Equipment, Forge","A fork of Spartan and Fire, modified for use in the RLCraft modpack by fixing some bugs and backporting newer features for use with older Ice and Fire."
BounceCraft3,Kneelawk,"Client and server, Technology, Utility, Fabric, Quilt",A mod originally created to test the abilities of blocks and entity movement that has so much potential!
Many More Structures,The-Architects727,"Server, World Generation, Fabric",Generates more of every Vanilla Structure
Atmospheric,TeamAbnormals,"Client and server, Adventure, Food, World Generation, Forge",Fills the world with fleshed out & diverse landscapes!
Buzzier Bees,TeamAbnormals,"Client and server, Decoration, Food, World Generation, Forge",Enhances and introduces various bee and honey related content!
Simple Musket,BrokenK3yboard,"Client and server, Equipment, Forge, NeoForge",Adds a musket and four types of ammo to Minecraft.
Zetter Gallery Ñ Share Paintings,dantaeusb,"Client and server, Decoration, Game Mechanics, Forge",Zetter Gallery allows you to share your artworks created with Zetter Painting mod with the world.
Simple Mod Config,DcmanProductions,"Client or server, Library, Utility, Fabric, Forge",A minecraft modding framework for creating configuration files for both client and server
Mc122477Fix,SizableShrimp,"Client, Fabric, Forge","A simple mod that fixes MC-122477, the random extra chat character on Unix-based systems"
All At Once,Makces,"Server, Game Mechanics, Storage, Forge","Smelt Raw Ore Blocks into their respective Smelted material blocks :D Compatible with many other mod's ores, Mostly focused on supporting ""All The Ores"" mod's Ores."
Lava Turns Sand into Glass,MarsThePlanet,"Client and server, Cursed, Game Mechanics, World Generation, Fabric, Forge, Quilt",When Lava Touches Sand Blocks They Turn into Glass Blocks
more underground structures,tombkingsts,"Client and server, Adventure, World Generation, Forge",Ads a few underground structures.
Thigh highs etc.,possible_triangle,"Client and server, Equipment, Fabric, Forge",A small addon for the mod Etcetera which adds Thigh highs to the cotton wear! Crafted with cotton in the shape of boots.
Translate This!,VerweliuS,"Client, Utility, Fabric",In-game translator
Five Nights At Freddy's Security Breach Remastered,Aysome122,"Client or server, Adventure, Equipment, Mobs, Forge",This mod adds a plethora of content from the FNAF Security and its upcoming DLC  This mod is still in Beta and so far adds very little
Borderless Mining Reworked,gryzle,"Client, Utility, Fabric",Tab out of Minecraft without it disappearing.
Gunpowder Recipe Mod,tjktak1002,"Client, Game Mechanics, Utility, Forge","Craft gunpowder using flints, glowstones and coals."
Spice of Life Onion,creativemd,"Client and server, Food, Forge, NeoForge",A mod designed to encourage dietary variety!
No Netherite,cootshk,"Game Mechanics, Management, Utility, Data Pack, Fabric, Quilt",Disables all netherite tools and armor
Simple Backup,spoorn,"Server, Utility, Fabric",Simple Backup utility for servers and singleplayer worlds
Daylight Mobs Reborn,SmushyTaco,"Server, Fabric",Stops mobs from burning in the daylight (This can be disabled in the config) and allows hostile mobs to spawn during the day (This is disabled by default and can be enabled in the config).
Nametag Tweaks,Microcontrollers,"Client, Utility, Fabric",A small QOL mod that lets you change the look of nametags.
Gaming Deco,PlayTics,"Client and server, Decoration, Forge","PCs, Keyboard, RGB, what need a real gamer more?!"
Kontrolo,Lucxjo,"Client, Utility, Fabric",Press R to quickly access common commands.
Dungeons & Crafting,Nikk452,"Client and server, Adventure, Equipment, Magic, Fabric",A rpg mod that is all about dnd. requires geckolib
PlusCraft,M336_,"Client, Adventure, Equipment, World Generation, Fabric",PlusCraft is a Fabric mod for Minecraft that adds a variety of new features and items.
Create Combined Addons,LegendarySpy,"Client and server, Food, Game Mechanics, Fabric",Adds important items for the Create Combined Modpack such as Spoiled food
Pickable Pets,iamshift,"Client and server, Utility, Fabric, Forge",Allows owners to pick up their pets into an item form. Works on Fabric and Forge.
Artis-Recrafted,DaFuqs,"Client and server, Utility, Fabric, Quilt",Configurable Crafting Tables for up to 9x9 in size
Macaw's Bridges - Abnormals,Samlegamer,"Client and server, Forge","This mod is a multi-compatibility for the mods developed by the Abnormals Team. Whether it is Buzzier Bees, Environmental or Upgrade Aquatic."
Simple Quarry,Zeitheron,"Client and server, Technology, Utility, Forge, NeoForge",Adding simple quarry to mine area of blocks.
Blasting Smelts Glass [PurpurPack],Rhythmic,"Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",Allows smelting glass in the blast furnace
Ender IO - Base,Rover656,"Client and server, Library, Technology, Forge","Ender IO is a full-featured tech mod. It has armor, tools, weapons, machines, conduits, inventory management, mobs, etc."
Sunrise & Sunset Audio,MrMorgan0,"Client, Adventure, Utility, Forge",This mod adds Rooster Crow and Wolf Howl when sun is rising or sitting into Minecraft. Just like in The Legend of Zelda...
Diamond Auction House,IAmSneak,"Server, Utility, Fabric",Auction House Addon for Diamond Economy
Rug,RubixDev,"Server, Game Mechanics, Utility, Fabric",Extension for gnembon's Carpet Mod adding lots more rules
ThePjotyr's Speedsters,ThePjotyr,"Equipment, Game Mechanics, Magic, Data Pack, Fabric, Forge, Quilt","Bring to your game your favourite superhero - The Flash, and everything that comes along with him"
Version Mod Loader,sschr15,"Client or server, Cursed, Utility, Fabric",Loads Fabric mods from folders based on Minecraft version
Minecraft Trophies,joshuaepstein,"Client and server, Decoration, Fabric, Forge","When completing advancements, you get a trophy that you can place to show off!"
Ancient Vessels,purejosh,"Client and server, Adventure, Equipment, Mobs, Fabric, Forge, NeoForge, Quilt","A long forgotten sword, able to harness and manipulate the energy of ancient mobs."
Project Test,lmg4497,"Client and server, Technology, World Generation, Fabric",Adds anything!
Kleiders Custom Renderer API,kleiders3010,"Client and server, Library, Forge",API for adding textures and models over players with MCreator Mods!
Armor Stand Shift Swap,Alan72104,"Server, Forge",Shift right click an armor stand to swap all armor
ASH - Another Simple HUD,umollu,"Client, Utility, Fabric","ASH - Another Simple HUD with FPS count, coordinates and compass"
Endless Cake,hugeblank,"Client and server, Cursed, Food, Fabric",Simple Minecraft mod for Fabric that adds an infinite cake using the Dragon Egg as a crafting ingredient
Spatial Harvesters [Fabric],dunkmania101,"Client and server, Equipment, Technology, Utility, Fabric, Quilt",Adds harvesters that gather resources from space-time itself!
Sorcerium,Jckman,"Client and server, Adventure, Equipment, Magic, Forge","Adds a Wide Variety of Staffs, Wands & Other Magical Things"
FormidableFarmland,2Retr0,"Client and server, Game Mechanics, Fabric, Quilt",Prevents farmland from crumbling under measly jumps!
Recovery+,macbrayne,"Client and server, Adventure, Equipment, Utility, Fabric, Quilt",A smarter recovery compass with waypoints
Whetstones,Bakabreak,"Client and server, Equipment, Utility, Forge, NeoForge",Whetstones allow you to easily repair tools in hand.
Unlit Campfire,cech12,"Client and server, Game Mechanics, Fabric, Forge, NeoForge",Placed campfires are unlit.
Arrow Shifter,Foksha,"Client, Game Mechanics, Fabric",Arrow Shifter is the ultimate Minecraft mod for swapping out arrows on the fly with just the press of a button!
Auto Sprint Fix,Amelia,"Client, Game Mechanics, Fabric","Essentially adds MC-263293 back, stopping your toggle sprint (and shift) from being reset on respawn"
Experience Storage,GalSergey,"Game Mechanics, Storage, Data Pack, Fabric, Forge, Quilt",This small data package allows you to store experience in XP Book.
Tumbleweed,konwboj,"Client and server, Decoration, Fabric, Forge",Tumbleweed in deserts
Simple Item Editor,White_145,"Client, Equipment, Utility, Fabric",Item Editor based on client-side commands
Advanced Debug,XyperCode,"Client, Utility, Fabric, Forge, NeoForge",Is your default F3 screen not enough? We got you!
Original Color Catgirl Mod,Busituteng,"Client and server, Food, Mobs, Utility, Forge",This is a meme mod about a friend of mine.
Thirsty Bottles,Darkhax,"Client and server, Food, Utility, Fabric, Forge, Quilt",A mod to make water bottles as thirsty as I am.
Biome Creeper,D4rkness_King,"Client, Decoration, Fabric",A small client-side mod to make the Creeper's texture change according to the biome they're in.
Gravity Guns,pluie,"Client and server, Equipment, Technology, Utility, Fabric",[ABANDONWARE] Adds gravity guns inspired by Half-Life 2.
BEnchantments,rvbsm,"Server, Equipment, Game Mechanics, Utility, Fabric",Enhance vanilla enchantments! (with some Bedrock parity)
Mining Utility,luligabi1,"Client and server, Adventure, Utility, Fabric",Utility items & blocks for your mining pleasure!
Fabric Reputation System,Gaming32,"Server, Management, Utility, Fabric, Quilt","This is a mod to manage player reputation on a server. Mean players (e.g. griefers and thieves) can get downvoted, while nice players can get upvoted. You can configure some actions to happen based on a player's reputation."
RPShare,kpids,"Client or server, Social, Utility, Fabric, Paper, Purpur, Spigot",Quickly share resource packs using written books
TransitManager,LX86,"Server, Utility, Fabric","Server-side addon for the MTR Mod, adding several commands and tweaks"
All The Unobtainables,Totobird-Creations,"Client, Utility, Fabric","Adds unobtainable items to the creative inventory including player heads, recently used structure blocks, and end portals."
Sorted Enchantments,unilock,"Client, Utility, Fabric, Forge, NeoForge, Quilt",Sorts enchantments in item tooltips (alphabetically)
Transparent Blocks In Enchant Area [PurpurPack],Rhythmic,"Decoration, Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",Allows most transparent blocks to be placed in the enchanting area without lowering the enchantment power
FakeFPS,brandonkys,"Client, Fabric","Shows a configurable fake FPS value in the F3 Menu, also works with Sodium/CustomHUD etc."
Movable Spawners,TheEnderCore,"Game Mechanics, Utility, Data Pack, Fabric, Forge, Quilt",Spawners  made movable in survival
Weapon Leveling,GeradesoLukas,"Client and server, Adventure, Equipment, Game Mechanics, Fabric, Forge",This mod makes it possible to level up your armor and weapons. It will also let items not disappear when broken.
Museum Curator,immortius,"Client and server, Adventure, Utility, Fabric, Forge",Museum Curator provides a checklist to assist with collecting every item in Minecraft
Ninjin Entities,seregamod,"Client or server, Adventure, Magic, Forge",This is a simple but very complete mod that add hundreds of new NPCs in the DBC mod made by Jinryuu
FabricProxy,james58899,"Server, Utility, Fabric",Fabric mod for support forward player data from proxy
Minecolonies,Raycoms,"Client and server, Forge",MineColonies is an interactive building mod that allows you to create your own thriving town within Minecraft. It lets your leadership skills soar by providing you with everything you need to build your kingdom.
Chunky Extension,2Lynk,"Server, Optimization, Utility, World Generation, Fabric","Ce (Chunky-extend)  A small extension for Chunky, auto start and stop Chunky if players are online or offline."
Mesh,Up,"Client and server, Library, Utility, Fabric",Modding Library
BuildCraft Robotics,AlexIIL,"Client and server, Forge",Robotics module for BuildCraft.
Autumnity,TeamAbnormals,"Client and server, Adventure, Mobs, World Generation, Forge",Introduces small autumn-themed biomes with seasonal content!
ExtraDE Origins Addon,Provismet,"Client and server, Game Mechanics, Library, Fabric, Quilt",Extends Origins to allow to you to apply the ExtraDE entity groups to your origin.
World Blender - Fabric,TelepathicGrunt,"Client and server, World Generation, Fabric","A dimension with all the features, structures, surfaces, and natural spawns from vanilla and your mods shoved in!"
CommandSpy,samolego,"Server, Utility, Fabric, Quilt",A server-side command logging mod.
ReCraft,MonsterTrex,"Client and server, Decoration, Equipment, Food, Fabric","Mod which expands on vanilla features which would add blocks, add variations to balanced gear, food, etc."
